L1	L2	D'	LOD	r^2	CIlow	CIhi	Dist	T-int
rs177075	rs6862542	0.955	13.54	0.374	0.8	0.99	18736	-
rs177075	rs294580	0.65	6.05	0.184	0.44	0.79	24437	-
rs177075	rs6876181	1.0	3.32	0.079	0.56	1.0	31722	-
rs177075	rs1432655	0.646	2.2	0.071	0.3	0.83	39169	-
rs177075	rs1433781	0.646	2.2	0.071	0.3	0.83	44396	-
rs177075	rs17668553	0.062	0.0	0.0	0.02	0.82	48251	-
rs177075	rs159199	0.645	4.59	0.144	0.41	0.8	51484	-
rs177075	rs292410	1.0	7.18	0.152	0.77	1.0	53772	-
rs177075	rs6878378	0.144	0.42	0.018	0.01	0.33	56331	-
rs177075	rs3849745	1.0	5.44	0.117	0.71	1.0	68988	-
rs177075	rs6880977	1.0	5.44	0.117	0.71	1.0	69510	-
rs177075	rs3910253	0.679	2.76	0.083	0.36	0.85	71639	-
rs177075	rs10070913	0.214	0.48	0.024	0.03	0.45	73635	-
rs177075	rs3910251	0.739	3.03	0.09	0.41	0.89	76908	-
rs177075	rs693845	0.739	3.03	0.09	0.41	0.89	78329	-
rs177075	rs158836	0.475	3.8	0.121	0.28	0.64	79638	-
rs177075	rs158842	0.799	7.25	0.224	0.59	0.91	83267	-
rs177075	rs158845	0.796	7.04	0.218	0.58	0.91	83985	-
rs177075	rs166078	0.799	7.25	0.224	0.59	0.91	84743	-
rs177075	rs149402	0.62	5.74	0.19	0.42	0.77	84962	-
rs177075	rs566509	0.075	0.0	0.0	0.02	0.81	89086	-
rs177075	rs158850	0.649	7.37	0.248	0.46	0.78	93919	-
rs177075	rs6893725	0.012	0.0	0.0	-0.01	0.2	94343	-
rs177075	rs17062147	0.075	0.0	0.0	0.02	0.81	95416	-
rs177075	rs158851	0.836	7.2	0.211	0.62	0.94	96053	-
rs177075	rs158829	0.627	0.51	0.016	0.08	0.9	99356	-
rs177075	rs537788	0.755	4.72	0.16	0.5	0.89	100192	-
rs177075	rs424217	0.637	6.61	0.224	0.45	0.78	108229	-
rs177075	rs509502	0.848	4.81	0.149	0.57	0.95	108777	-
rs177075	rs292404	0.627	0.51	0.016	0.08	0.9	111067	-
rs177075	rs292406	0.64	6.75	0.23	0.45	0.78	112486	-
rs177075	rs3133041	0.624	0.52	0.017	0.08	0.9	113813	-
rs177075	rs558968	0.924	5.91	0.177	0.67	0.98	120465	-
rs177075	rs10057965	0.336	0.27	0.007	0.03	0.69	130195	-
rs177075	rs531314	0.057	0.03	0.001	0.0	0.38	135007	-
rs177075	rs489835	0.044	0.02	0.001	0.0	0.3	137188	-
rs177075	rs4869096	0.146	0.55	0.019	0.02	0.32	147438	-
rs177075	rs516512	0.297	0.2	0.005	0.03	0.68	148022	-
rs177075	rs520002	0.255	0.26	0.008	0.02	0.58	148366	-
rs177075	rs13328108	0.015	0.0	0.0	-0.01	0.28	149972	-
rs177075	rs497083	0.038	0.01	0.0	0.0	0.37	151029	-
rs177075	rs580015	0.026	0.01	0.0	0.0	0.33	154247	-
rs177075	rs10515864	0.161	0.57	0.022	0.02	0.34	163242	-
rs177075	rs17610788	0.138	0.33	0.012	0.01	0.34	175854	-
rs177075	rs642305	0.053	0.02	0.001	0.0	0.37	177090	-
rs177075	rs17538699	0.152	0.04	0.001	0.01	0.63	180520	-
