L1	L2	D'	LOD	r^2	CIlow	CIhi	Dist	T-int
rs299290	rs6862542	0.383	2.31	0.093	0.18	0.55	105833	-
rs299290	rs294580	0.255	1.25	0.044	0.08	0.42	111534	-
rs299290	rs6876181	0.644	1.59	0.051	0.24	0.85	118819	-
rs299290	rs1432655	0.434	1.1	0.049	0.12	0.67	126266	-
rs299290	rs1433781	0.434	1.1	0.049	0.12	0.67	131493	-
rs299290	rs17668553	1.0	0.61	0.018	0.1	0.98	135348	-
rs299290	rs159199	0.274	0.88	0.04	0.06	0.47	138581	-
rs299290	rs292410	0.478	1.29	0.054	0.15	0.71	140869	-
rs299290	rs6878378	0.151	0.26	0.013	0.01	0.38	143428	-
rs299290	rs3849745	0.371	0.55	0.025	0.06	0.66	156085	-
rs299290	rs6880977	0.371	0.55	0.025	0.06	0.66	156607	-
rs299290	rs3910253	0.02	0.0	0.0	0.0	0.34	158736	-
rs299290	rs10070913	0.32	0.79	0.034	0.07	0.57	160732	-
rs299290	rs3910251	0.005	0.0	0.0	0.0	0.34	164005	-
rs299290	rs693845	0.005	0.0	0.0	0.0	0.34	165426	-
rs299290	rs158836	0.073	0.1	0.004	0.0	0.26	166735	-
rs299290	rs158842	0.314	1.1	0.053	0.08	0.51	170364	-
rs299290	rs158845	0.301	0.98	0.048	0.07	0.5	171082	-
rs299290	rs166078	0.314	1.1	0.053	0.08	0.51	171840	-
rs299290	rs149402	0.141	0.35	0.015	0.01	0.33	172059	-
rs299290	rs566509	1.0	1.11	0.028	0.18	0.99	176183	-
rs299290	rs158850	0.189	0.73	0.033	0.03	0.35	181016	-
rs299290	rs6893725	0.135	0.03	0.001	0.01	0.66	181440	-
rs299290	rs17062147	1.0	1.11	0.028	0.18	0.99	182513	-
rs299290	rs158851	0.219	0.46	0.022	0.03	0.45	183150	-
rs299290	rs158829	0.764	1.21	0.036	0.21	0.93	186453	-
rs299290	rs537788	0.053	0.02	0.001	0.0	0.4	187289	-
rs299290	rs424217	0.187	0.64	0.03	0.03	0.36	195326	-
rs299290	rs509502	0.122	0.09	0.005	0.01	0.43	195874	-
rs299290	rs292404	0.764	1.21	0.036	0.21	0.93	198164	-
rs299290	rs292406	0.193	0.69	0.032	0.03	0.36	199583	-
rs299290	rs3133041	0.566	0.68	0.022	0.1	0.84	200910	-
rs299290	rs558968	0.181	0.18	0.01	0.01	0.48	207562	-
rs299290	rs10057965	0.268	0.21	0.007	0.02	0.63	217292	-
rs299290	rs531314	0.325	0.53	0.023	0.05	0.62	222104	-
rs299290	rs489835	0.366	0.63	0.025	0.06	0.64	224285	-
rs299290	rs4869096	0.013	0.0	0.0	-0.01	0.27	234535	-
rs299290	rs516512	0.764	1.24	0.052	0.21	0.93	235119	-
rs299290	rs520002	0.459	0.8	0.038	0.09	0.73	235463	-
rs299290	rs13328108	0.053	0.02	0.001	0.0	0.37	237069	-
rs299290	rs497083	0.193	0.32	0.013	0.02	0.44	238126	-
rs299290	rs580015	0.29	0.65	0.024	0.05	0.53	241344	-
rs299290	rs10515864	0.015	0.0	0.0	-0.01	0.29	250339	-
rs299290	rs17610788	0.104	0.2	0.01	0.0	0.29	262951	-
rs299290	rs642305	0.121	0.1	0.005	0.01	0.41	264187	-
rs299290	rs17538699	0.68	0.76	0.035	0.12	0.91	267617	-
