L1	L2	D'	LOD	r^2	CIlow	CIhi	Dist	T-int
rs300193	rs985254	0.202	0.13	0.006	0.02	0.58	300761	-
rs300193	rs10037424	0.327	0.81	0.037	0.07	0.63	301020	-
rs300193	rs294588	0.278	0.14	0.005	0.03	0.71	301925	-
rs300193	rs294587	0.085	0.06	0.002	0.0	0.39	302468	-
rs300193	rs6862542	0.181	0.18	0.008	0.01	0.5	311759	-
rs300193	rs294580	0.506	0.46	0.015	0.07	0.82	317460	-
rs300193	rs6876181	0.061	0.03	0.001	0.0	0.39	324745	-
rs300193	rs1432655	0.121	0.05	0.002	0.01	0.52	332192	-
rs300193	rs1433781	0.121	0.05	0.002	0.01	0.52	337419	-
rs300193	rs17668553	1.0	0.31	0.007	0.06	0.98	341274	-
rs300193	rs159199	0.316	0.49	0.02	0.04	0.61	344507	-
rs300193	rs292410	0.409	0.37	0.014	0.05	0.75	346795	-
rs300193	rs6878378	0.116	0.0	0.0	0.03	0.94	349354	-
rs300193	rs3849745	0.322	0.2	0.007	0.03	0.72	362011	-
rs300193	rs6880977	0.322	0.2	0.007	0.03	0.72	362533	-
rs300193	rs3910253	0.178	0.08	0.003	0.01	0.6	364662	-
rs300193	rs10070913	0.085	0.12	0.007	0.0	0.3	366658	-
rs300193	rs3910251	0.091	0.02	0.001	0.01	0.57	369931	-
rs300193	rs693845	0.091	0.02	0.001	0.01	0.57	371352	-
rs300193	rs158836	0.504	0.44	0.012	0.06	0.82	372661	-
rs300193	rs158842	0.695	0.76	0.035	0.12	0.91	376290	-
rs300193	rs158845	0.655	0.59	0.031	0.1	0.9	377008	-
rs300193	rs166078	0.695	0.76	0.035	0.12	0.91	377766	-
rs300193	rs149402	0.688	0.74	0.024	0.12	0.91	377985	-
rs300193	rs566509	1.0	0.32	0.01	0.06	0.98	382109	-
rs300193	rs158850	0.647	0.57	0.018	0.09	0.9	386942	-
rs300193	rs6893725	0.45	0.07	0.004	0.04	0.96	387366	-
rs300193	rs17062147	1.0	0.32	0.01	0.06	0.98	388439	-
rs300193	rs158851	0.745	1.01	0.046	0.17	0.93	389076	-
rs300193	rs158829	0.368	0.1	0.003	0.03	0.85	392379	-
rs300193	rs537788	0.63	0.98	0.036	0.15	0.86	393215	-
rs300193	rs424217	0.621	0.5	0.018	0.08	0.9	401252	-
rs300193	rs509502	0.519	0.71	0.033	0.09	0.8	401800	-
rs300193	rs292404	0.368	0.1	0.003	0.03	0.85	404090	-
rs300193	rs292406	0.614	0.48	0.017	0.08	0.89	405509	-
rs300193	rs3133041	0.296	0.06	0.002	0.03	0.84	406836	-
rs300193	rs558968	0.519	0.71	0.033	0.09	0.8	413488	-
rs300193	rs10057965	0.058	0.0	0.0	0.01	0.71	423218	-
rs300193	rs531314	0.073	0.06	0.003	0.0	0.35	428030	-
rs300193	rs489835	0.13	0.1	0.003	0.01	0.45	430211	-
rs300193	rs4869096	0.69	0.17	0.011	0.05	0.97	440461	-
rs300193	rs516512	0.104	0.15	0.005	0.0	0.35	441045	-
rs300193	rs520002	0.13	0.12	0.004	0.01	0.43	441389	-
rs300193	rs13328108	1.0	0.41	0.015	0.07	0.98	442995	-
rs300193	rs497083	0.132	0.07	0.002	0.01	0.5	444052	-
rs300193	rs580015	0.018	0.0	0.0	0.0	0.45	447270	-
rs300193	rs10515864	0.116	0.0	0.0	0.03	0.94	456265	-
rs300193	rs17610788	0.023	0.01	0.0	0.0	0.31	468877	-
rs300193	rs642305	0.16	0.12	0.003	0.01	0.51	470113	-
rs300193	rs17538699	0.0	-0.0	0.0	0.02	0.79	473543	-
rs1862166	rs2560370	1.0	26.73	0.661	0.93	1.0	130	137.16
rs1862166	rs2544955	1.0	3.82	0.084	0.61	1.0	1212	-
rs1862166	rs1154758	0.723	8.32	0.293	0.55	0.84	5990	-
rs1862166	rs13159031	0.604	0.43	0.018	0.07	0.89	8687	-
rs1862166	rs2964380	0.855	23.96	0.666	0.76	0.92	11694	-
rs1862166	rs2913578	0.619	2.31	0.095	0.3	0.81	16481	-
rs1862166	rs300206	0.829	1.99	0.042	0.35	0.95	21161	-
rs1862166	rs182462	0.712	8.67	0.311	0.55	0.82	21932	-
rs1862166	rs300209	0.752	7.85	0.265	0.57	0.86	24011	-
rs1862166	rs300218	0.762	19.2	0.57	0.66	0.84	25912	-
rs1862166	rs10515854	0.62	0.45	0.011	0.07	0.9	26829	-
rs1862166	rs982228	0.599	2.55	0.099	0.3	0.78	27978	-
rs1862166	rs12186371	0.242	0.25	0.006	0.02	0.59	37744	-
rs1862166	rs300237	0.194	0.2	0.005	0.02	0.52	39113	-
rs1862166	rs17061510	0.359	2.19	0.077	0.16	0.52	40011	-
rs1862166	rs300211	0.381	2.97	0.1	0.2	0.53	40891	-
rs1862166	rs2901732	0.32	0.4	0.01	0.04	0.65	41272	-
rs1862166	rs11742012	0.041	0.0	0.0	0.01	0.59	43291	-
